timestamp,frame_idx,eye_prob_closed,yawn_prob,drowsy_prob
1763768899.572,1,0.6616,0.0000,0.3709
1763768899.660,2,0.6616,0.0000,0.3709
1763768899.772,3,0.6377,0.0000,0.3058
1763768899.795,4,0.6377,0.0000,0.3058
1763768899.920,5,0.6401,0.0000,0.2954
1763768899.940,6,0.6401,0.0000,0.2954
1763768900.036,7,0.6109,0.0000,0.2884
1763768900.067,8,0.6109,0.0000,0.2884
1763768900.159,9,0.5971,0.0000,0.2658
1763768900.197,10,0.5971,0.0000,0.2658
1763768900.300,11,0.5773,0.0000,0.2493
1763768900.320,12,0.5773,0.0000,0.2493
1763768900.429,13,0.5864,0.0000,0.2737
1763768900.446,14,0.5864,0.0000,0.2737
1763768900.546,15,0.5604,0.0000,0.2796
1763768900.579,16,0.5604,0.0000,0.2796
1763768900.671,17,0.5927,0.0000,0.2997
1763768900.690,18,0.5927,0.0000,0.2997
1763768900.793,19,0.6186,0.0000,0.3463
1763768900.816,20,0.6186,0.0000,0.3463
1763768900.914,21,0.6382,0.0000,0.3538
1763768900.941,22,0.6382,0.0000,0.3538
1763768901.036,23,0.6468,0.0000,0.3582
1763768901.068,24,0.6468,0.0000,0.3582
1763768901.164,25,0.6869,0.0000,0.3644
1763768901.196,26,0.6869,0.0000,0.3644
1763768901.294,27,0.6901,0.0000,0.3667
1763768901.314,28,0.6901,0.0000,0.3667
1763768901.406,29,0.6810,0.0000,0.3389
1763768901.431,30,0.6810,0.0000,0.3389
1763768901.539,31,0.6723,0.0000,0.3212
1763768901.554,32,0.6723,0.0000,0.3212
1763768901.642,33,0.6497,0.0000,0.3137
1763768901.666,34,0.6497,0.0000,0.3137
1763768901.762,35,0.6265,0.0000,0.3172
1763768901.793,36,0.6265,0.0000,0.3172
1763768901.886,37,0.5937,0.0000,0.2900
1763768901.919,38,0.5937,0.0000,0.2900
1763768901.997,39,0.6034,0.0000,0.2963
1763768902.031,40,0.6034,0.0000,0.2963
1763768902.177,41,0.6048,0.0000,0.2930
1763768902.195,42,0.6048,0.0000,0.2930
1763768902.304,43,0.6269,0.0000,0.2751
1763768902.324,44,0.6269,0.0000,0.2751
1763768902.444,45,0.6208,0.0000,0.2389
1763768902.474,46,0.6208,0.0000,0.2389
1763768902.570,47,0.6312,0.0000,0.2180
1763768902.599,48,0.6312,0.0000,0.2180
1763768902.700,49,0.6086,0.0000,0.1774
1763768902.721,50,0.6086,0.0000,0.1774
1763768902.830,51,0.5954,0.0000,0.1687
1763768902.848,52,0.5954,0.0000,0.1687
1763768902.943,53,0.5900,0.0000,0.1571
1763768902.977,54,0.5900,0.0000,0.1571
1763768903.078,55,0.6108,0.0000,0.1793
1763768903.097,56,0.6108,0.0000,0.1793
1763768903.176,57,0.6332,0.0000,0.2368
1763768903.199,58,0.6332,0.0000,0.2368
1763768903.324,59,0.6494,0.0000,0.2855
1763768903.358,60,0.6494,0.0000,0.2855
1763768903.446,61,0.6572,0.0000,0.3047
1763768903.469,62,0.6572,0.0000,0.3047
1763768903.564,63,0.6333,0.0000,0.3011
1763768903.596,64,0.6333,0.0000,0.3011
1763768903.696,65,0.6091,0.0000,0.2815
1763768903.720,66,0.6091,0.0000,0.2815
1763768903.819,67,0.5833,0.0000,0.2314
1763768903.837,68,0.5833,0.0000,0.2314
1763768903.922,69,0.5869,0.0000,0.2106
1763768903.943,70,0.5869,0.0000,0.2106
1763768904.033,71,0.5865,0.0000,0.1828
1763768904.054,72,0.5865,0.0000,0.1828
1763768904.175,73,0.6105,0.0000,0.2018
1763768904.195,74,0.6105,0.0000,0.2018
1763768904.290,75,0.6128,0.0000,0.1851
1763768904.323,76,0.6128,0.0000,0.1851
1763768904.407,77,0.6302,0.0000,0.1907
1763768904.434,78,0.6302,0.0000,0.1907
1763768904.539,79,0.6350,0.0000,0.1923
1763768904.558,80,0.6350,0.0000,0.1923
1763768904.657,81,0.6499,0.0000,0.1963
1763768904.686,82,0.6499,0.0000,0.1963
1763768904.770,83,0.6335,0.0000,0.1628
1763768904.796,84,0.6335,0.0000,0.1628
1763768904.921,85,0.6402,0.0000,0.1676
1763768904.940,86,0.6402,0.0000,0.1676
1763768905.023,87,0.6468,0.0000,0.1901
1763768905.044,88,0.6468,0.0000,0.1901
1763768905.127,89,0.6189,0.0000,0.1949
1763768905.158,90,0.6189,0.0000,0.1949
1763768905.254,91,0.6075,0.0000,0.2056
1763768905.282,92,0.6075,0.0000,0.2056
