timestamp,eye_closed_prob,yawn_prob,drowsy_prob,fps
1763493961.6710753,0.0000,0.0001,0.4923,1.46
1763493961.7960153,0.0000,0.0001,0.4925,8.00
1763493961.8805704,0.0000,0.0002,0.4941,11.83
1763493961.9733381,0.0000,0.0001,0.4954,10.78
1763493962.0279057,0.0000,0.0001,0.4959,18.33
1763493962.116246,0.0000,0.0001,0.4959,11.32
1763493962.1891077,0.0000,0.0001,0.4922,13.72
1763493962.250501,0.0000,0.0001,0.4932,16.29
1763493962.319497,0.0000,0.0000,0.4942,14.49
1763493962.3871953,0.0000,0.0000,0.4943,14.77
1763493962.4460316,0.0000,0.0000,0.4956,17.00
1763493962.5186384,0.0000,0.0000,0.4952,13.77
1763493962.5791276,0.0000,0.0001,0.4952,16.53
1763493962.6336465,0.0000,0.0001,0.4952,18.34
1763493962.7105227,0.0000,0.0000,0.4950,13.01
1763493962.7793725,0.0000,0.0000,0.4892,14.52
1763493962.8400385,0.0000,0.0000,0.4858,16.48
1763493962.8955493,0.0000,0.0000,0.4835,18.01
1763493962.959798,0.0000,0.0000,0.4853,15.56
1763493963.0251505,0.0000,0.0000,0.4751,15.30
1763493963.0908237,0.0000,0.0000,0.4680,15.23
1763493963.1766865,0.0000,0.0000,0.4744,11.65
1763493963.2369802,0.0000,0.0000,0.4702,16.59
1763493963.2965794,0.0000,0.0000,0.4713,16.78
1763493963.3615859,0.0000,0.0000,0.4775,15.38
1763493963.428351,0.0000,0.0000,0.4819,14.98
1763493963.490939,0.0000,0.0000,0.4854,15.98
1763493963.546285,0.0000,0.0000,0.4868,18.07
1763493963.6101227,0.0000,0.0000,0.4881,15.66
1763493963.6752682,0.0000,0.0000,0.4833,15.35
1763493963.7320378,0.0000,0.0000,0.4837,17.62
1763493963.7966664,0.0000,0.0000,0.4876,15.47
1763493963.8552227,0.0000,0.0000,0.4902,17.08
1763493963.9171972,0.0000,0.0000,0.4920,16.14
1763493963.9875834,0.0000,0.0000,0.4929,14.21
1763493964.0436018,0.0000,0.0000,0.4927,17.85
1763493964.1133387,0.0000,0.0001,0.4937,14.34
1763493964.183861,0.0000,0.0000,0.4927,14.18
1763493964.246015,0.0000,0.0000,0.4936,16.09
1763493964.304134,0.0000,0.0000,0.4931,17.21
1763493964.3677752,0.0000,0.0000,0.4934,15.71
1763493964.4310782,0.0000,0.0000,0.4934,15.80
1763493964.489483,0.0000,0.0000,0.4932,17.12
1763493964.5544956,0.0000,0.0000,0.4902,15.38
1763493964.6139643,0.0000,0.0000,0.4909,16.82
1763493964.6923995,0.0000,0.0000,0.4903,12.75
1763493964.7567813,0.0000,0.0000,0.4919,15.53
1763493964.8148634,0.0000,0.0001,0.4928,17.22
1763493964.8818116,0.0000,0.0001,0.4941,14.94
1763493964.9422197,0.0000,0.0001,0.4953,16.55
1763493965.0154235,0.0000,0.0001,0.4942,13.66
1763493965.081416,0.0000,0.0001,0.4940,15.15
1763493965.1479137,0.0000,0.0001,0.4932,15.04
1763493965.2069705,0.0000,0.0001,0.4939,16.93
1763493965.274282,0.0000,0.0001,0.4946,14.86
1763493965.3299253,0.0000,0.0001,0.4952,17.97
1763493965.400506,0.0000,0.0001,0.4956,14.17
1763493965.452887,0.0000,0.0001,0.4958,19.09
1763493965.5142326,0.0000,0.0002,0.4952,16.30
1763493965.5782566,0.0000,0.0002,0.4935,15.62
1763493965.6395278,0.0000,0.0001,0.4906,16.32
1763493965.6992903,0.0000,0.0001,0.4886,16.73
1763493965.7623606,0.0000,0.0001,0.4886,15.86
1763493965.826783,0.0000,0.0001,0.4859,15.52
1763493965.8855677,0.0000,0.0001,0.4858,17.01
1763493965.94503,0.0000,0.0001,0.4852,16.82
1763493966.0198615,0.0000,0.0001,0.4840,13.36
1763493966.07038,0.0000,0.0000,0.4834,19.79
1763493966.1414616,0.0000,0.0001,0.4857,14.07
1763493966.2009,0.0000,0.0001,0.4877,16.82
1763493966.2553766,0.0000,0.0001,0.4887,18.36
1763493966.3231018,0.0000,0.0001,0.4902,14.77
1763493966.3857005,0.0000,0.0001,0.4910,15.97
1763493966.4468882,0.0000,0.0001,0.4919,16.34
1763493966.5087476,0.0000,0.0002,0.4912,16.17
1763493966.5673842,0.0000,0.0003,0.4906,17.05
1763493966.6307254,0.0000,0.0002,0.4911,15.79
1763493966.7014413,0.0000,0.0002,0.4912,14.14
1763493966.7711716,0.0000,0.0001,0.4917,14.34
1763493966.8369558,0.0000,0.0002,0.4925,15.20
1763493966.8977935,0.0000,0.0002,0.4917,16.44
1763493966.9543161,0.0000,0.0001,0.4923,17.69
1763493967.0375266,0.0000,0.0001,0.4932,12.02
1763493967.0970414,0.0000,0.0001,0.4933,16.80
1763493967.162525,0.0000,0.0001,0.4934,15.27
1763493967.227477,0.0000,0.0001,0.4938,15.40
1763493967.29199,0.0000,0.0003,0.4942,15.50
1763493967.3547397,0.0000,0.0002,0.4938,15.94
1763493967.413125,0.0000,0.0002,0.4950,17.13
1763493967.4845364,0.0000,0.0002,0.4954,14.00
1763493967.5647528,0.0000,0.0003,0.4933,12.47
1763493967.628029,0.0000,0.0003,0.4929,15.80
1763493967.692212,0.0000,0.0002,0.4900,15.58
1763493967.755609,0.0000,0.0002,0.4905,15.77
1763493967.8279223,0.0000,0.0001,0.4911,13.83
1763493967.892549,0.0000,0.0001,0.4874,15.47
1763493967.957934,0.0000,0.0001,0.4879,15.29
1763493968.0230823,0.0000,0.0001,0.4890,15.35
1763493968.079283,0.0000,0.0001,0.4865,17.79
1763493968.1451058,0.0000,0.0001,0.4862,15.19
1763493968.2112856,0.0000,0.0001,0.4889,15.11
1763493968.2661097,0.0000,0.0001,0.4892,18.24
1763493968.3295505,0.0000,0.0001,0.4895,15.76
1763493968.3918135,0.0000,0.0001,0.4898,16.06
1763493968.4542763,0.0000,0.0001,0.4900,16.01
1763493968.518663,0.0000,0.0002,0.4870,15.53
