timestamp,eye_closed_prob,yawn_prob,drowsy_prob,fps
1763491490.098592,0.2856,0.0000,0.1147,1.49
1763491490.2102573,0.2817,0.0000,0.1251,8.96
1763491490.273729,0.2898,0.0000,0.1139,15.76
1763491490.3532171,0.3066,0.0000,0.1315,12.58
1763491490.4246848,0.3128,0.0000,0.1191,13.99
1763491490.4976118,0.3368,0.0000,0.1202,13.71
1763491490.5603359,0.3628,0.0001,0.1141,15.94
1763491490.6233647,0.3847,0.0060,0.1298,15.87
1763491490.6846457,0.4011,0.0061,0.1433,16.32
1763491490.739861,0.3687,0.0053,0.1294,18.11
1763491490.81231,0.3695,0.0101,0.1414,13.80
1763491490.8688922,0.3371,0.0155,0.1489,17.67
1763491490.9365222,0.3178,0.0109,0.1313,14.79
1763491490.9912033,0.3009,0.0088,0.1347,18.29
1763491491.0534127,0.2780,0.0062,0.1569,16.07
1763491491.1187809,0.2934,0.0044,0.1625,15.30
1763491491.1793315,0.2948,0.0031,0.1570,16.52
1763491491.238122,0.2687,0.0022,0.1379,17.01
1763491491.3227315,0.2750,0.0015,0.1272,11.82
1763491491.3780437,0.2718,0.0011,0.1177,18.08
1763491491.4579449,0.2713,0.0008,0.1193,12.52
1763491491.523568,0.2910,0.0005,0.1071,15.24
1763491491.5803022,0.2916,0.0004,0.1135,17.63
1763491491.6438975,0.2936,0.0003,0.1043,15.72
1763491491.7102356,0.2947,0.0003,0.0968,15.07
1763491491.7686918,0.3026,0.0002,0.1113,17.11
1763491491.829739,0.3093,0.0002,0.1094,16.38
1763491491.8879519,0.2861,0.0003,0.1013,17.18
1763491491.957713,0.2621,0.0003,0.0924,14.33
1763491492.030061,0.2540,0.0124,0.0900,13.82
1763491492.0893395,0.2471,0.0486,0.0935,16.87
1763491492.168714,0.2400,0.0846,0.0949,12.60
1763491492.2341623,0.2241,0.1318,0.0998,15.28
1763491492.2946367,0.2235,0.3764,0.1685,16.54
1763491492.357324,0.2354,0.5287,0.2134,15.95
1763491492.425738,0.2462,0.6576,0.2520,14.62
1763491492.482614,0.2513,0.7169,0.2694,17.58
1763491492.5571907,0.2509,0.7973,0.2923,13.41
1763491492.636002,0.2601,0.8535,0.3101,12.69
1763491492.7051528,0.2714,0.8810,0.3200,14.46
1763491492.768175,0.2725,0.9058,0.3272,15.87
1763491492.8233619,0.2682,0.9122,0.3280,18.12
1763491492.891448,0.2776,0.9002,0.3261,14.69
1763491492.960072,0.2627,0.9120,0.3265,14.57
1763491493.0158095,0.2564,0.9171,0.3267,17.94
1763491493.0850978,0.2580,0.9377,0.3331,14.43
1763491493.151242,0.2438,0.9437,0.3321,15.12
1763491493.218518,0.2364,0.9280,0.3259,14.86
1763491493.2838576,0.2465,0.9224,0.3262,15.30
1763491493.3496058,0.2514,0.9409,0.3328,15.21
1763491493.4087574,0.2551,0.9281,0.3297,16.91
1763491493.4687014,0.2683,0.9386,0.3357,16.68
1763491493.5276952,0.2780,0.9425,0.3391,16.95
1763491493.5870328,0.2864,0.6601,0.2724,16.85
1763491493.6552343,0.2922,0.4622,0.2306,14.66
1763491493.7163634,0.3110,0.3236,0.2042,16.36
1763491493.7755013,0.3178,0.2266,0.2162,16.91
1763491493.8430674,0.3454,0.1586,0.2058,14.80
1763491493.8995767,0.2989,0.1112,0.2035,17.70
1763491493.9605942,0.2693,0.0778,0.2212,16.39
1763491494.0292683,0.2397,0.0545,0.2303,14.56
1763491494.0845983,0.2489,0.0382,0.2271,18.07
1763491494.1525385,0.3378,0.0268,0.1935,14.72
1763491494.2088501,0.3264,0.0189,0.1572,17.76
1763491494.280124,0.3275,0.0136,0.1494,14.03
1763491494.345597,0.3597,0.0095,0.1428,15.27
1763491494.400117,0.3776,0.0067,0.1372,18.34
1763491494.464461,0.3998,0.0047,0.1672,15.54
1763491494.5325475,0.4192,0.0033,0.1564,14.69
1763491494.5865824,0.4645,0.0023,0.1719,18.51
1763491494.6580493,0.4929,0.0016,0.1914,13.99
1763491494.7140403,0.5293,0.0011,0.1934,17.86
1763491494.7773798,0.5130,0.0008,0.1989,15.79
1763491494.840437,0.4977,0.0006,0.2062,15.86
1763491494.9059956,0.4699,0.0004,0.2311,15.25
1763491494.9672801,0.4855,0.0003,0.2468,16.32
1763491495.0263033,0.4685,0.0002,0.2376,16.94
1763491495.0941052,0.4488,0.0001,0.2238,14.75
1763491495.159233,0.4615,0.0001,0.2165,15.35
1763491495.2109149,0.4845,0.0001,0.1972,19.35
1763491495.2834222,0.4990,0.0001,0.2268,13.79
1763491495.3500998,0.5120,0.0000,0.2323,15.00
1763491495.3948884,0.5319,0.0001,0.2520,22.33
1763491495.446168,0.5520,0.0001,0.2642,19.50
1763491495.513419,0.5595,0.0001,0.2616,14.87
1763491495.570818,0.5680,0.0000,0.2640,17.42
1763491495.6416168,0.5822,0.0000,0.2402,14.12
1763491495.6987374,0.4888,0.0000,0.2137,17.51
1763491495.7588294,0.4146,0.0000,0.1682,16.64
1763491495.8223352,0.3549,0.0001,0.1710,15.75
1763491495.8818796,0.3370,0.0000,0.1598,16.79
1763491495.947478,0.3208,0.0000,0.1558,15.24
1763491496.003702,0.2742,0.0000,0.1519,17.79
1763491496.0581768,0.2563,0.0000,0.1339,18.36
1763491496.1143723,0.2410,0.0000,0.1242,17.80
1763491496.1702037,0.2259,0.0000,0.1159,17.91
1763491496.239382,0.2096,0.0000,0.1361,14.46
1763491496.3021755,0.2340,0.0000,0.1215,15.93
1763491496.3747633,0.2787,0.0000,0.1323,13.78
1763491496.4310887,0.3185,0.0000,0.1517,17.75
1763491496.495308,0.3783,0.0001,0.1790,15.57
1763491496.5524375,0.4133,0.0001,0.1806,17.50
1763491496.6158733,0.4539,0.0001,0.1899,15.76
1763491496.678186,0.4642,0.0001,0.1934,16.05
1763491496.7388825,0.4859,0.0001,0.2314,16.48
1763491496.8006032,0.4905,0.0001,0.2201,16.20
1763491496.8623075,0.5206,0.0001,0.2112,16.21
1763491496.9232907,0.5296,0.0001,0.2219,16.40
1763491496.9751704,0.5221,0.0001,0.2166,19.28
1763491497.0385325,0.5224,0.0001,0.1975,15.78
1763491497.1000063,0.5223,0.0001,0.1845,16.27
1763491497.163048,0.5273,0.0001,0.1800,15.86
1763491497.2186527,0.5413,0.0001,0.1824,17.98
1763491497.2881157,0.5312,0.0001,0.1857,14.40
1763491497.3755996,0.5313,0.0001,0.1954,11.43
1763491497.4357402,0.5086,0.0001,0.1826,16.63
1763491497.5042932,0.5081,0.0002,0.1727,14.59
1763491497.5689352,0.5168,0.0001,0.1816,15.47
1763491497.6238825,0.5335,0.0001,0.2125,18.20
1763491497.6867743,0.5380,0.0001,0.2252,15.90
1763491497.7499638,0.5370,0.0001,0.2266,15.83
1763491497.8054154,0.5445,0.0001,0.2176,18.03
1763491497.8601198,0.5586,0.0001,0.2215,18.28
1763491497.9234517,0.5620,0.0001,0.2162,15.79
1763491497.985679,0.5667,0.0001,0.2080,16.07
1763491498.045892,0.5556,0.0001,0.2088,16.61
1763491498.1060312,0.5517,0.0001,0.2070,16.63
1763491498.177792,0.5531,0.0001,0.2253,13.94
1763491498.228338,0.5402,0.0001,0.2208,19.78
1763491498.278367,0.5371,0.0002,0.2119,19.99
1763491498.340509,0.5321,0.0001,0.2012,16.09
1763491498.4084804,0.5410,0.0001,0.1899,14.71
