timestamp,frame_idx,eye_prob_closed,yawn_prob,drowsy_prob
1763495856.023,1,0.5300,0.0002,0.1832
1763495856.110,2,0.5300,0.0002,0.1832
1763495856.192,3,0.3950,0.0002,0.1121
1763495856.209,4,0.3950,0.0002,0.1121
1763495856.300,5,0.4372,0.0002,0.1455
1763495856.328,6,0.4372,0.0002,0.1455
1763495856.394,7,0.3881,0.0002,0.1880
1763495856.416,8,0.3881,0.0002,0.1880
1763495856.488,9,0.3882,0.0001,0.1793
1763495856.508,10,0.3882,0.0001,0.1793
1763495856.570,11,0.3104,0.0001,0.1678
1763495856.587,12,0.3104,0.0001,0.1678
1763495856.655,13,0.2933,0.0001,0.1995
1763495856.678,14,0.2933,0.0001,0.1995
1763495856.754,15,0.2295,0.0001,0.1753
1763495856.785,16,0.2295,0.0001,0.1753
1763495856.855,17,0.2263,0.0001,0.1146
1763495856.880,18,0.2263,0.0001,0.1146
1763495856.956,19,0.2004,0.0001,0.1006
1763495856.971,20,0.2004,0.0001,0.1006
1763495857.031,21,0.2323,0.0001,0.0821
1763495857.050,22,0.2323,0.0001,0.0821
1763495857.117,23,0.2351,0.0001,0.0500
1763495857.143,24,0.2351,0.0001,0.0500
1763495857.210,25,0.2405,0.0001,0.0778
1763495857.237,26,0.2405,0.0001,0.0778
1763495857.300,27,0.2762,0.0001,0.2171
1763495857.329,28,0.2762,0.0001,0.2171
1763495857.395,29,0.3211,0.0001,0.3721
1763495857.418,30,0.3211,0.0001,0.3721
1763495857.472,31,0.4323,0.0001,0.5430
1763495857.496,32,0.4323,0.0001,0.5430
1763495857.568,33,0.4871,0.0001,0.6926
1763495857.589,34,0.4871,0.0001,0.6926
1763495857.656,35,0.6273,0.0001,0.8258
1763495857.678,36,0.6273,0.0001,0.8258
1763495857.749,37,0.7255,0.0001,0.8603
1763495857.770,38,0.7255,0.0001,0.8603
1763495857.829,39,0.8140,0.0001,0.8753
1763495857.850,40,0.8140,0.0001,0.8753
1763495857.922,41,0.7661,0.0001,0.8669
1763495857.946,42,0.7661,0.0001,0.8669
1763495858.022,43,0.8046,0.0000,0.8808
1763495858.038,44,0.8046,0.0000,0.8808
1763495858.094,45,0.7410,0.0001,0.8797
1763495858.117,46,0.7410,0.0001,0.8797
1763495858.179,47,0.7256,0.0003,0.8060
1763495858.202,48,0.7256,0.0003,0.8060
1763495858.256,49,0.6622,0.0004,0.7299
